concentration,peak_area_mean,peak_area_std,peak_height_mean,peak_center_mean,n,peak_area_sem
0.0,5.309448885867128e-08,0.0,3.266289809690556e-07,401.8498460849798,1,0.0
1.0,1286.3923330728987,0.0,1031.216610603114,401.27743921562677,1,0.0
2.0,2312.364128224758,0.0,1926.9879896930909,401.25259025600093,1,0.0
3.0,5827.157203939265,0.0,4812.00193472683,401.33141444260525,1,0.0
5.0,9656.173961301796,0.0,7722.104469920622,401.35348552114255,1,0.0
