file,concentration,nearest_wavelength,peak_center,peak_center_error,wavelength_step,peak_area,peak_area_error,peak_height,peak_sigma,peak_sigma_error,peak_fwhm,fit_success,extraction_method
0_libs_10accum_1.SPE,0.0,401.3384546551074,401.8498460849798,25906433.52096901,0.19720005882220448,5.309448885867128e-08,41.831336457337,3.266289809690556e-07,0.06484922556223971,0.8574394502459358,0.1527082562586955,True,gaussian_fit
1_libs_10accum_1.SPE,1.0,401.3384546551074,401.27743921562677,0.042865309717561174,0.19720005882220448,1286.3923330728987,147.65706534795726,1031.216610603114,0.49766100116140993,0.049918297313581106,1.1719021011650588,True,gaussian_fit
2_libs_10accum_1.SPE,2.0,401.3384546551074,401.25259025600093,0.05023443165821244,0.19720005882220448,2312.364128224758,316.6294430562281,1926.9879896930909,0.4787262937634507,0.05803160775864121,1.1273142726375485,True,gaussian_fit
3_libs_10accum_1.SPE,3.0,401.3384546551074,401.33141444260525,0.046815187211614026,0.19720005882220448,5827.157203939265,737.7463739254906,4812.00193472683,0.48310441573609564,0.05408519351044859,1.1376239620183233,True,gaussian_fit
5_libs_10accum_1.SPE,5.0,401.3384546551074,401.35348552114255,0.056982120098566236,0.19720005882220448,9656.173961301796,1468.9985391183695,7722.104469920622,0.4988609096238079,0.06633003646303838,1.1747276696645157,True,gaussian_fit
