element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
K,1,,,1696.084,0.017,,3.850e+04,A+,3.3968046,4.127608,3p6.4d,2D,5/2,3p6.8f,2F*,5/2,,T8262,
K,1,,,1696.392,0.017,,5.390e+05,A+,3.3969373,4.127608,3p6.4d,2D,3/2,3p6.8f,2F*,5/2,,T8262,
K,1,,,1793.9187,0.0019,,5.687e+05,AA,3.0625810,3.7535285,3p6.5p,2P*,1/2,3p6.7s,2S,1/2,,T9168,
K,1,,,1799.9770,0.0019,,1.120e+06,AA,3.0649066,3.7535285,3p6.5p,2P*,3/2,3p6.7s,2S,1/2,,T9168,
K,1,,,1802.9832,0.0019,,8.3e+04,C+,3.3968046,4.0842783,3p6.4d,2D,5/2,3p6.9p,2P*,3/2,,T817LS,
K,1,,,1803.3312,0.0019,,9.5e+03,C+,3.3969373,4.0842783,3p6.4d,2D,3/2,3p6.9p,2P*,3/2,,T817LS,
K,1,,,1803.8919,0.0019,,9.1e+04,C+,3.3969373,4.0840647,3p6.4d,2D,3/2,3p6.9p,2P*,1/2,,T817LS,
K,1,,,1822.8672,0.0019,,7.24e+04,B,3.0625810,3.7425557,3p6.5p,2P*,1/2,3p6.5d,2D,3/2,,T9168,
K,1,,,1829.1229,0.0019,,1.31e+04,B,3.0649066,3.7425557,3p6.5p,2P*,3/2,3p6.5d,2D,3/2,,T9168,
K,1,,,1829.2915,0.0019,,7.8e+04,B+,3.0649066,3.7424933,3p6.5p,2P*,3/2,3p6.5d,2D,5/2,,T9168,
K,1,,,1862.479,0.021,,8.5e+05,A,3.3968046,4.062317,3p6.4d,2D,5/2,3p6.7f,2F*,7/2,,T8262,
K,1,,,1862.479,0.021,,5.70e+04,B+,3.3968046,4.062317,3p6.4d,2D,5/2,3p6.7f,2F*,5/2,,T8262,
K,1,,,1862.850,0.021,,8.00e+05,A,3.3969373,4.062317,3p6.4d,2D,3/2,3p6.7f,2F*,5/2,,T8262,
element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
K,1,,,2069.09,0.03,,1.4e+05,B+,3.3968046,3.996024,3p6.4d,2D,5/2,3p6.8p,2P*,3/2,,T817LS,
K,1,,,2069.55,0.03,,1.5e+04,C+,3.3969373,3.996024,3p6.4d,2D,3/2,3p6.8p,2P*,3/2,,T817LS,
K,1,,,2070.70,0.03,,1.5e+05,C+,3.3969373,3.995693,3p6.4d,2D,3/2,3p6.8p,2P*,1/2,,T817LS,
K,1,,,2194.86,0.03,,1.32e+06,B+,3.3968046,3.961688,3p6.4d,2D,5/2,3p6.6f,2F*,7/2,,T8262,
K,1,,,2194.86,0.03,,8.80e+04,B+,3.3968046,3.961688,3p6.4d,2D,5/2,3p6.6f,2F*,5/2,,T8262,
K,1,,,2195.38,0.03,,1.23e+06,B+,3.3969373,3.961688,3p6.4d,2D,3/2,3p6.6f,2F*,5/2,,T8262,
K,1,2707.397,,2707.395,0.005,59,4.58e+06,AA,2.6069601,3.0649066,3p6.5s,2S,1/2,3p6.5p,2P*,3/2,,T9168,L1792
K,1,,,2719.37,0.04,,2.5e+05,B+,3.3968046,3.852735,3p6.4d,2D,5/2,3p6.7p,2P*,3/2,,T817LS,
K,1,,,2720.16,0.04,,2.8e+04,C+,3.3969373,3.852735,3p6.4d,2D,3/2,3p6.7p,2P*,3/2,,T817LS,
