element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Nd,2,382.885,382.88404+,540,,,0.7421173,3.9793646,4f4.(5I).6s,4I,15/2,,*,13/2,,,L3475
Nd,2,382.916,382.91476+,440,1.10e+07,B+,0.7421173,3.9791049,4f4.(5I).6s,4I,15/2,,*,15/2,,T7685,L3475
Nd,2,383.047,383.04791+,510*,,,1.9450399,5.1809023&dagger;,4f3.(4I*).5d (5K*).6s,6L*,19/2,4f3.(4I*).5d (5L*).6p,6M,21/2,,,L3475
Nd,2,383.047,383.04637+,510*,,,2.0538609,5.2897362,4f3.5d2,*,9/2,4f3.5d.6p,,7/2,,,L3475
Nd,2,383.654,383.65467+,740,1.40e+07,B+,0.5594781,3.7902230,4f4.(5I).6s,4I,13/2,,*,13/2,,T7685,L3475
Nd,2,383.791,383.79334+,340,5.1e+06,B+,0.1822698,3.4118474,4f4.(5I).6s,6I,11/2,,*,11/2,,T7685,L3475
Nd,2,383.8981,383.89806+,1700,4.33e+07,B+,0.0000000,3.2286967,4f4.(5I).6s,6I,7/2,,*,5/2,,T7685,"L3260,L3475"
Nd,2,383.951,383.94892+,340,,,1.1714256,4.3996946,4f3.(4I*).5d2.(3F),6M*,15/2,4f3.(4I*).5d (5L*).6p,6M,15/2,,,L3475
Nd,2,384.182,384.18170+,410D*,,,0.3802292,3.6065421,4f4.(5I).6s,4I,11/2,,*,13/2,,,L3475
Nd,2,384.188,384.18826+,410D*,,,1.6882532,4.9145111,4f3.(4I*).5d (5K*).6s,6K*,15/2,4f3.5d.6p,,17/2,,,L3475
Nd,2,384.8233,384.82300+,1700D*,1.79e+07,B+,0.1822698,3.4032063,4f4.(5I).6s,6I,11/2,4f4.6p,*,13/2,,T7685,"L3260,L3475"
Nd,2,384.831,384.83159+,1700D*,1.61e+07,B+,0.3205562,3.5414208,4f4.(5I).6s,6I,13/2,4f4.(5I).6p,4K*,13/2,,T7685,L3475
Nd,2,384.852,384.85129+,1500,,,0.3802292,3.6009289,4f4.(5I).6s,4I,11/2,4f4.(5I).6p,4H*,9/2,,,L3475
Nd,2,385.022,385.01671+,470,,,1.4184691,4.6377852,4f4.(5F).6s,4F,3/2,,*,5/2,,,L3475
Nd,2,385.166,385.16579+,2400D*,9.1e+06,B+,0.3205562,3.5386262,4f4.(5I).6s,6I,13/2,,*,15/2,,T7685,L3475
Nd,2,385.1748,385.17455+,2400D*,,,0.1822698,3.4002666,4f4.(5I).6s,6I,11/2,4f4.(5I).6p,6H*,9/2,,,"L3260,L3475"
Nd,2,385.855,385.85373+,340,4.23e+06,B+,0.0636448,3.2759774,4f4.(5I).6s,6I,9/2,,*,7/2,,T7685,L3475
Nd,2,386.094,386.09403+,270,8.0e+06,B+,0.5594781,3.7698115,4f4.(5I).6s,4I,13/2,,*,15/2,,T7685,L3475
Nd,2,386.252,386.25663+,300,6.5e+06,B+,0.1822698,3.3912518,4f4.(5I).6s,6I,11/2,,*,11/2,,T7685,L3475
Nd,2,386.3327,386.33164+,3700D*,1.17e+07,B+,0.0000000,3.2083589,4f4.(5I).6s,6I,7/2,4f4.(5I).6p,6I*,9/2,,T7685,"L3260,L3475"
Nd,2,386.3409,386.34082+,3700D*,7.2e+07,B+,0.0000000,3.2082827,4f4.(5I).6s,6I,7/2,4f4.(5I).6p,6H*,5/2,,T7685,"L3260,L3475"
Nd,2,386.652,386.65200+,240,,,0.0636448,3.2693455,4f4.(5I).6s,6I,9/2,,*,7/2,,,L3475
Nd,2,386.681,386.67911+,220,6.2e+06,B+,0.2045993,3.4100753,4f4.(5I).6s,4I,9/2,,*,7/2,,T7685,L3475
Nd,2,386.9045,386.90460+,850,1.16e+07,B+,0.1822698,3.3858777,4f4.(5I).6s,6I,11/2,,*,13/2,,T7685,"L3260,L3475"
Nd,2,387.574,387.57239+,240,7.5e+06,B+,0.2045993,3.4026874,4f4.(5I).6s,4I,9/2,,*,7/2,,T7685,L3475
Nd,2,387.587,387.58608+,470,1.41e+07,B+,0.3802292,3.5782043,4f4.(5I).6s,4I,11/2,,*,11/2,,T7685,L3475
Nd,2,387.858,387.85772+,1100,1.36e+07,B,0.1822698,3.3780053,4f4.(5I).6s,6I,11/2,4f4.(5I).6p,4K*,11/2,,T7685,L3475
Nd,2,387.955,387.95405+,1000,1.95e+07,B+,0.3205562,3.5154982,4f4.(5I).6s,6I,13/2,,*,13/2,,T7685,L3475
Nd,2,388.038,388.03725+,780,1.14e+07,B+,0.1822698,3.3765268,4f4.(5I).6s,6I,11/2,,*,9/2,,T7685,L3475
Nd,2,388.0779,388.07732+,1200,1.79e+07,B+,0.0636448,3.2575720,4f4.(5I).6s,6I,9/2,,*,11/2,,T7685,"L3260,L3475"
Nd,2,388.7866,388.78667+,540,7.4e+06,B+,0.0636448,3.2517447,4f4.(5I).6s,6I,9/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,388.966,388.96328+,370h,1.84e+06,B+,0.2045993,3.3912518,4f4.(5I).6s,4I,9/2,,*,11/2,,T7685,L3475
Nd,2,388.993,388.99256+,1300,2.89e+07,B+,0.3205562,3.5069687,4f4.(5I).6s,6I,13/2,4f4.(5I).6p,6H*,11/2,,T7685,L3475
Nd,2,389.058,389.05766+,1300,3.80e+07,B+,0.6305390,3.8164184,4f4.(5I).6s,6I,17/2,4f4.6p,*,17/2,,T7685,L3475
Nd,2,389.094,389.09362+,1300,3.34e+07,B+,0.0636448,3.2492297,4f4.(5I).6s,6I,9/2,,*,7/2,,T7685,L3475
Nd,2,389.151,389.15057+,580,1.78e+07,B+,0.7421173,3.9272361,4f4.(5I).6s,4I,15/2,4f4.(5I).6p,4K*,17/2,,T7685,L3475
Nd,2,389.206,389.20557+,470,,,1.4566693,4.6413379,4f4.(5S).6s,6S,5/2,,*,7/2,,,L3475
Nd,2,389.4627,389.46235+,810,1.01e+07,B+,0.0636448,3.2462138,4f4.(5I).6s,6I,9/2,,*,11/2,,T7685,"L3260,L3475"
Nd,2,389.613,389.61371+,270,4.48e+06,B+,0.3802292,3.5615618,4f4.(5I).6s,4I,11/2,,*,13/2,,T7685,L3475
Nd,2,389.763,389.76318+,440,,,0.2045993,3.3847120,4f4.(5I).6s,4I,9/2,,*,7/2,,,L3475
Nd,2,390.021,390.02189+,2000,3.95e+07,B+,0.4713792,3.6493825,4f4.(5I).6s,6I,15/2,4f4.(5I).6p,6H*,13/2,,T7685,L3475
Nd,2,390.184,390.18454+,1300,,,0.6305390,3.8072175,4f4.(5I).6s,6I,17/2,4f4.(5I).6p,6H*,15/2,,,L3475
Nd,2,390.589,390.58693+,1700,1.90e+07,B,0.2045993,3.3780053,4f4.(5I).6s,4I,9/2,4f4.(5I).6p,4K*,11/2,,T7685,L3475
Nd,2,390.770,390.76899+,200*,,,0.2045993,3.3765268,4f4.(5I).6s,4I,9/2,,*,9/2,,,L3475
Nd,2,390.770,390.76938+,200*,,,1.5024907,4.6744151,4f3.(4I*).5d (5K*).6s,6K*,13/2,4f3.5d.6p,,15/2,,,L3475
Nd,2,390.784,390.78373+,510,1.50e+07,B+,0.5594781,3.7312859,4f4.(5I).6s,4I,13/2,4f4.(5I).6p,4K*,15/2,,T7685,L3475
Nd,2,391.116,391.11650+,2000,3.47e+07,B+,0.4713792,3.6404885,4f4.(5I).6s,6I,15/2,,*,15/2,,T7685,L3475
Nd,2,391.223,391.22173+,850,,,0.9930899,4.1613467,4f3.(4I*).5d2.(3F),6M*,13/2,4f3.(4I*).5d (5L*).6p,6M,13/2,,,L3475
Nd,2,391.369,391.36807+,340,3.21e+06,B+,0.1822698,3.3493420,4f4.(5I).6s,6I,11/2,,*,9/2,,T7685,L3475
Nd,2,391.513,391.50410+,440,,,0.3802292,3.5462010,4f4.(5I).6s,4I,11/2,,*,9/2,,,L3475
Nd,2,391.595,391.59439+,610,8.3e+06,B+,0.2045993,3.3698412,4f4.(5I).6s,4I,9/2,,*,9/2,,T7685,L3475
Nd,2,391.765,391.76461+,340,,,1.3383214,4.5021880,4f3.(4I*).5d (5K*).6s,6L*,13/2,4f3.5d.6p,6L,13/2,,,L3475
Nd,2,391.992,391.99096+,220*,,,2.5166077,5.6786474,4f3.5d.6s,6K*,15/2,4f3.5d.6p,,15/2,,,L3475
Nd,2,391.992,391.99159+,220*,,,0.7421173,3.9041519,4f4.(5I).6s,4I,15/2,,*,15/2,,,L3475
Nd,2,391.992,391.98420+,220*,1.95e+06,B+,0.3205562,3.4826504,4f4.(5I).6s,6I,13/2,,*,13/2,,T7685,L3475
Nd,2,392.096,392.09612+,1100,3.18e+07,B+,0.3802292,3.5414208,4f4.(5I).6s,4I,11/2,4f4.(5I).6p,4K*,13/2,,T7685,L3475
Nd,2,392.710,392.70977+,510,1.12e+07,B+,0.1822698,3.3385219,4f4.(5I).6s,6I,11/2,,*,9/2,,T7685,L3475
Nd,2,392.926,392.92548+,200,,,0.5594781,3.7139975,4f4.(5I).6s,4I,13/2,,*,15/2,,,L3475
Nd,2,393.482,393.48146+,610,1.37e+07,B+,0.3205562,3.4706184,4f4.(5I).6s,6I,13/2,,*,11/2,,T7685,L3475
Nd,2,393.611,393.61194+,410,,,1.4986162,4.6476342,4f4.(5F).6s,6F,9/2,,*,11/2,,,L3475
Nd,2,393.886,393.88626+,510,,,1.6178215,4.7646464,4f4.(5F).6s,6F,11/2,,*,13/2,,,L3475
Nd,2,394.1512,394.15065+,2000,4.13e+07,B+,0.0636448,3.2083589,4f4.(5I).6s,6I,9/2,4f4.(5I).6p,6I*,9/2,,T7685,"L3260,L3475"
Nd,2,395.1154,395.11424+,2000,3.93e+07,B+,0.1822698,3.3193149,4f4.(5I).6s,6I,11/2,4f4.(5I).6p,6I*,11/2,,T7685,"L3260,L3475"
Nd,2,395.2195,395.21968+,810*,,,1.2942989,4.4305071,4f4.(5F).6s,6F,3/2,,*,3/2,,,"L3260,L3475"
Nd,2,395.2195,395.21882+,810*,2.15e+07,B+,0.0000000,3.1362150,4f4.(5I).6s,6I,7/2,,*,7/2,,T7685,"L3260,L3475"
Nd,2,395.287,395.28586+,320,7.6e+06,B+,0.1822698,3.3179529,4f4.(5I).6s,6I,11/2,,*,11/2,,T7685,L3475
Nd,2,395.352,395.35146+,320,1.25e+07,B+,0.4713792,3.6065421,4f4.(5I).6s,6I,15/2,,*,13/2,,T7685,L3475
Nd,2,395.745,395.74513+,240,,,1.5201213,4.6521655,4f3.(4I*).5d (5K*).6s,6L*,15/2,4f3.(4I*).5d (5L*).6p,6M,17/2,,,L3475
Nd,2,395.8001,395.79927+,590,9.0e+06,B+,0.0636448,3.1952606,4f4.(5I).6s,6I,9/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,396.221,396.22047+,510,7.1e+06,B+,0.3205562,3.4488430,4f4.(5I).6s,6I,13/2,,*,15/2,,T7685,L3475
Nd,2,396.3114,396.31047+,1400,3.98e+07,B+,0.4713792,3.5989557,4f4.(5I).6s,6I,15/2,,*,17/2,,T7685,"L3260,L3475"
Nd,2,396.390,396.39053+,270,1.14e+07,B+,0.6305390,3.7574837,4f4.(5I).6s,6I,17/2,,*,15/2,,T7685,L3475
Nd,2,397.3269,397.32603+,1100,5.4e+07,B+,0.6305390,3.7501215,4f4.(5I).6s,6I,17/2,4f4.(5I).6p,6I*,17/2,,T7685,"L3260,L3475"
Nd,2,397.3650,397.36393+,740,2.24e+07,B+,0.3205562,3.4398412,4f4.(5I).6s,6I,13/2,4f4.(5I).6p,6I*,13/2,,T7685,"L3260,L3475"
Nd,2,397.6836,397.68293+,740,2.10e+07,B+,0.0000000,3.1167830,4f4.(5I).6s,6I,7/2,,*,7/2,,T7685,"L3260,L3475"
Nd,2,397.9479,397.94690+,740,1.65e+07,B+,0.2045993,3.3193149,4f4.(5I).6s,4I,9/2,4f4.(5I).6p,6I*,11/2,,T7685,"L3260,L3475"
Nd,2,398.2355,398.23518+,320,9.4e+06,B+,0.3802292,3.4926900,4f4.(5I).6s,4I,11/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,398.625,398.62240+,470,,,1.2465613,4.3559988,4f3.(4I*).5d (5K*).6s,6L*,11/2,4f3.5d.6p,6L,11/2,,,L3475
Nd,2,399.0103,399.00965+,1400,3.57e+07,B+,0.4713792,3.5777990,4f4.(5I).6s,6I,15/2,4f4.(5I).6p,6I*,15/2,,T7685,"L3260,L3475"
Nd,2,399.1743,399.17407+,1000,2.89e+07,B+,0.0000000,3.1051402,4f4.(5I).6s,6I,7/2,4f4.(5I).6p,6I*,7/2,,T7685,"L3260,L3475"
Nd,2,399.468,399.46724+,1100,2.86e+07,B+,0.3205562,3.4234176,4f4.(5I).6s,6I,13/2,,*,15/2,,T7685,L3475
Nd,2,400.0493,400.04896+,410,7.5e+06,B+,0.2045993,3.3029490,4f4.(5I).6s,4I,9/2,4f4.(5I).6p,6H*,7/2,,T7685,"L3260,L3475"
Nd,2,400.402,400.40050+,540,9.3e+06,B,0.0636448,3.1592742,4f4.(5I).6s,6I,9/2,,*,11/2,,T7685,L3475
Nd,2,400.743,400.74302+,410,9.1e+06,B+,0.4713792,3.5643628,4f4.(5I).6s,6I,15/2,,*,17/2,,T7685,L3475
Nd,2,401.2250,401.22432+,3700,1.34e+08,B+,0.6305390,3.7198124,4f4.(5I).6s,6I,17/2,4f4.(5I).6p,6K*,19/2,,T7685,"L3260,L3475"
Nd,2,401.270,401.26974+,540,1.31e+07,B+,0.0000000,3.0889237,4f4.(5I).6s,6I,7/2,,*,7/2,,T7685,L3475
Nd,2,401.8826,401.88232+,370,5.9e+06,B+,0.0636448,3.1478602,4f4.(5I).6s,6I,9/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,402.0872,402.08639+,1000,1.89e+07,B+,0.3205562,3.4032063,4f4.(5I).6s,6I,13/2,4f4.6p,*,13/2,,T7685,"L3260,L3475"
Nd,2,402.1330,402.13273+,1000,2.07e+07,B+,0.3205562,3.4028511,4f4.(5I).6s,6I,13/2,,*,15/2,,T7685,"L3260,L3475"
Nd,2,402.178,402.17277+,1000,1.44e+07,B+,0.1822698,3.2642578,4f4.(5I).6s,6I,11/2,4f3.5d.6s,*,13/2,,T7685,L3475
Nd,2,402.300,402.30038+,1200,2.82e+07,B+,0.5594781,3.6404885,4f4.(5I).6s,4I,13/2,,*,15/2,,T7685,L3475
Nd,2,402.4785,402.47839+,340,4.8e+06,B+,0.0636448,3.1432927,4f4.(5I).6s,6I,9/2,,*,11/2,,T7685,"L3260,L3475"
Nd,2,403.0470,403.04713+,410,6.9e+06,B+,0.1822698,3.2575720,4f4.(5I).6s,6I,11/2,,*,11/2,,T7685,"L3260,L3475"
Nd,2,403.182,403.17839+,1200,4.20e+07,B+,0.7421173,3.8164184,4f4.(5I).6s,4I,15/2,4f4.6p,*,17/2,,T7685,L3475
Nd,2,403.8124,403.81231+,270,3.65e+06,B+,0.1822698,3.2517447,4f4.(5I).6s,6I,11/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,404.0796,404.07918+,3000,3.82e+07,B+,0.1822698,3.2497176,4f4.(5I).6s,6I,11/2,,*,13/2,,T7685,"L3260,L3475"
Nd,2,404.106,404.10564+,200,7.6e+06,B+,0.4713792,3.5386262,4f4.(5I).6s,6I,15/2,,*,15/2,,T7685,L3475
Nd,2,404.3596,404.35949+,410,5.7e+06,B+,0.3205562,3.3858777,4f4.(5I).6s,6I,13/2,,*,13/2,,T7685,"L3260,L3475"
Nd,2,404.881,404.88100+,410,,,1.3383214,4.3996946,4f3.(4I*).5d (5K*).6s,6L*,13/2,4f3.(4I*).5d (5L*).6p,6M,15/2,,,L3475
Nd,2,405.1145,405.11407+,850,1.45e+07,B+,0.3802292,3.4398412,4f4.(5I).6s,4I,11/2,4f4.(5I).6p,6I*,13/2,,T7685,"L3260,L3475"
Nd,2,405.9961,405.99509+,850,1.03e+07,B+,0.2045993,3.2575720,4f4.(5I).6s,4I,9/2,,*,11/2,,T7685,"L3260,L3475"
Nd,2,406.1085,406.10799+,4700,8.0e+07,B+,0.4713792,3.5235032,4f4.(5I).6s,6I,15/2,4f4.(5I).6p,6K*,17/2,,T7685,"L3260,L3475"
Nd,2,406.9267,406.92650+,1100,8.9e+06,C+,0.0636448,3.1096297,4f4.(5I).6s,6I,9/2,,*,11/2,,T7685,"L3260,L3475"
Nd,2,407.5116,407.51122+,710,1.10e+07,B+,0.2045993,3.2462138,4f4.(5I).6s,4I,9/2,,*,11/2,,T7685,"L3260,L3475"
Nd,2,407.5272,407.52717+,470,8.8e+06,B+,0.0636448,3.1051402,4f4.(5I).6s,6I,9/2,4f4.(5I).6p,6I*,7/2,,T7685,"L3260,L3475"
Nd,2,407.762,407.76121+,240,,,1.2511692,4.2909189,4f3.(4I*).5d (5K*).6s,6K*,9/2,4f3.5d.6p,6K,9/2,,,L3475
Nd,2,408.0227,408.02175+,470,3.6e+06,C+,0.0636448,3.1014536,4f4.(5I).6s,6I,9/2,,*,11/2,,T7685,"L3260,L3475"
Nd,2,408.5815,408.58132+,240,3.42e+06,B+,0.0000000,3.0336485,4f4.(5I).6s,6I,7/2,,*,7/2,,T7685,"L3260,L3475"
Nd,2,409.613,409.61240+,270,6.0e+06,B+,0.3205562,3.3465685,4f4.(5I).6s,6I,13/2,4f3.5d.6s,*,11/2,,T7685,L3475
Nd,2,409.818,409.81742+,220,6.6e+06,B+,0.4713792,3.4958777,4f4.(5I).6s,6I,15/2,,*,13/2,,T7685,L3475
Nd,2,410.6582,410.65620+,200,2.20e+06,B+,0.5594781,3.5777990,4f4.(5I).6s,4I,13/2,4f4.(5I).6p,6I*,15/2,,T7685,"L3260,L3475"
Nd,2,410.9073,410.90711+,1400,2.26e+07,B+,0.0636448,3.0801227,4f4.(5I).6s,6I,9/2,,*,11/2,,T7685,"L3260,L3475"
Nd,2,410.9455,410.94478+,2500,5.5e+07,B+,0.3205562,3.3367576,4f4.(5I).6s,6I,13/2,4f4.(5I).6p,6K*,15/2,,T7685,"L3260,L3475"
Nd,2,411.0472,411.04718+,510,7.7e+06,B+,0.0000000,3.0154501,4f4.(5I).6s,6I,7/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,411.3826,411.38268+,300h,6.0e+06,B+,0.1822698,3.1952606,4f4.(5I).6s,6I,11/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,412.3881,412.38765+,410,8.6e+06,B+,0.3802292,3.3858777,4f4.(5I).6s,4I,11/2,,*,13/2,,T7685,"L3260,L3475"
Nd,2,413.3361,413.33515+,470,1.04e+07,B+,0.3205562,3.3193149,4f4.(5I).6s,6I,13/2,4f4.(5I).6p,6I*,11/2,,T7685,"L3260,L3475"
Nd,2,413.533,413.53212+,510,2.08e+07,B+,0.6305390,3.6278694,4f4.(5I).6s,6I,17/2,4f3.5d.6s,*,15/2,,T7685,L3475
Nd,2,415.6083,415.60778+,3000,4.02e+07,B+,0.1822698,3.1646310,4f4.(5I).6s,6I,11/2,4f4.(5I).6p,6K*,13/2,,T7685,"L3260,L3475"
Nd,2,415.6265,415.62549+,510,3.35e+06,B+,0.0000000,2.9822341,4f4.(5I).6s,6I,7/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,416.057,416.05603+,340,7.6e+06,B+,0.5594781,3.5386262,4f4.(5I).6s,4I,13/2,,*,15/2,,T7685,L3475
Nd,2,416.800,416.79897+,410*,,,1.4566693,4.4305071,4f4.(5S).6s,6S,5/2,,*,3/2,,,L3475
Nd,2,416.800,416.79993+,410*,,,1.5283569,4.5021880,4f3.(4I*).5d2.(3F),6L*,13/2,4f3.5d.6p,6L,13/2,,,L3475
Nd,2,417.5606,417.56019+,810,1.22e+07,B+,0.6305390,3.5989557,4f4.(5I).6s,6I,17/2,,*,17/2,,T7685,"L3260,L3475"
Nd,2,417.7321,417.73196+,2400,2.52e+07,B+,0.0636448,3.0308408,4f4.(5I).6s,6I,9/2,4f4.(5I).6p,6K*,11/2,,T7685,"L3260,L3475"
Nd,2,417.864,417.86353+,200,2.54e+06,B+,0.1822698,3.1485316,4f4.(5I).6s,6I,11/2,,*,13/2,,T7685,L3475
Nd,2,417.9585,417.95813+,640,8.7e+06,B+,0.1822698,3.1478602,4f4.(5I).6s,6I,11/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,418.498,418.49703+,250,,,1.3291472,4.2909189,4f3.(4I*).5d (5K*).6s,6K*,11/2,4f3.5d.6p,6K,9/2,,,L3475
Nd,2,420.5595,420.5577+,470,6.6e+06,B+,0.6305390,3.5777990,4f4.(5I).6s,6I,17/2,4f4.(5I).6p,6I*,15/2,,T7685,"L3260,L3475"
Nd,2,421.1286,421.1291+,470,5.2e+06,B+,0.2045993,3.1478602,4f4.(5I).6s,4I,9/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,422.0258,422.0246+,290,5.0e+06,B+,0.3205562,3.2575720,4f4.(5I).6s,6I,13/2,,*,11/2,,T7685,"L3260,L3475"
Nd,2,422.7719,422.7715+,440,8.4e+06,B+,0.4713792,3.4032063,4f4.(5I).6s,6I,15/2,4f4.6p,*,13/2,,T7685,"L3260,L3475"
Nd,2,423.2378,423.2374+,1300,1.05e+07,B,0.0636448,2.9922446,4f4.(5I).6s,6I,9/2,,*,11/2,,T7685,"L3260,L3475"
Nd,2,423.4196,423.4189+,250*,,,1.7248211,4.6521655,4f3.(4I*).5d (5K*).6s,6L*,17/2,4f3.(4I*).5d (5L*).6p,6M,17/2,,,"L3260,L3475"
Nd,2,423.4196,423.4167+,250*,,,0.1822698,3.1096297,4f4.(5I).6s,6I,11/2,,*,11/2,,,"L3260,L3475"
Nd,2,423.524,423.5225+,290h,,,1.2511692,4.1777976,4f3.(4I*).5d (5K*).6s,6K*,9/2,4f4.5d,,11/2,,,L3475
Nd,2,423.984,423.9821+,290,,,1.2511692,4.1746248,4f3.(4I*).5d (5K*).6s,6K*,9/2,4f3.5d.6p,,11/2,,,L3475
Nd,2,424.7367,424.73654+,2000,2.27e+07,B+,0.0000000,2.9182632,4f4.(5I).6s,6I,7/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,425.244,425.2433+,850,,,1.2465613,4.1613467,4f3.(4I*).5d (5K*).6s,6L*,11/2,4f3.(4I*).5d (5L*).6p,6M,13/2,,,L3475
Nd,2,426.184,426.1835+,410*,,,1.4913390,4.3996946,4f3.(4I*).5d (5K*).6s,6L*,13/2,4f3.(4I*).5d (5L*).6p,6M,15/2,,,L3475
Nd,2,426.184,426.1844+,410*,,,0.8229364,3.7312859,4f4.(5I).5d,6L,15/2,4f4.(5I).6p,4K*,15/2,,,L3475
Nd,2,426.6716,426.6713+,340,3.3e+06,B,0.2045993,3.1096297,4f4.(5I).6s,4I,9/2,,*,11/2,,T7685,"L3260,L3475"
Nd,2,427.0565,427.05654+,240,1.98e+06,B+,0.0000000,2.9024100,4f4.(5I).6s,6I,7/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,427.2789,427.27831+,340,3.31e+06,B+,0.0000000,2.9009035,4f4.(5I).6s,6I,7/2,,*,7/2,,T7685,"L3260,L3475"
Nd,2,427.509,427.5077+,340,,,1.5024907,4.4018377,4f3.(4I*).5d (5K*).6s,6K*,13/2,4f3.5d.6p,,13/2,,,L3475
Nd,2,428.244,428.2435+,470,9.0e+06,B+,0.4713792,3.3657445,4f4.(5I).6s,6I,15/2,,*,13/2,,T7685,L3475
Nd,2,428.2570,428.2565+,240,1.86e+06,B,0.0636448,2.9579226,4f4.(5I).6s,6I,9/2,,*,11/2,,T7685,"L3260,L3475"
Nd,2,428.4518,428.4509+,710,1.37e+07,B,0.6305390,3.5235032,4f4.(5I).6s,6I,17/2,4f4.(5I).6p,6K*,17/2,,T7685,"L3260,L3475"
Nd,2,429.780,429.7784+,270,3.86e+06,B+,0.3802292,3.2642578,4f4.(5I).6s,4I,11/2,4f3.5d.6s,*,13/2,,T7685,L3475
Nd,2,430.3573,430.35715+,5400,4.37e+07,B+,0.0000000,2.8801504,4f4.(5I).6s,6I,7/2,4f4.(5I).6p,6K*,9/2,,T7685,"L3260,L3475"
Nd,2,430.445,430.4434+,340,,,1.5201213,4.3996946,4f3.(4I*).5d (5K*).6s,6L*,15/2,4f3.(4I*).5d (5L*).6p,6M,15/2,,,L3475
Nd,2,430.7778,430.7771+,200,3.6e+06,B,0.3802292,3.2575720,4f4.(5I).6s,4I,11/2,,*,11/2,,T7685,"L3260,L3475"
Nd,2,431.4511,431.45056+,470,,,0.0000000,2.8728515,4f4.(5I).6s,6I,7/2,4f3.5d.6s,*,9/2,,,"L3260,L3475"
Nd,2,432.5766,432.5758+,1100,2.12e+07,B,0.4713792,3.3367576,4f4.(5I).6s,6I,15/2,4f4.(5I).6p,6K*,15/2,,T7685,"L3260,L3475"
Nd,2,432.793,432.7932+,510,8.9e+06,B+,0.5594781,3.4234176,4f4.(5I).6s,4I,13/2,,*,15/2,,T7685,L3475
Nd,2,433.8697,433.8690+,540,1.60e+07,B+,0.7421173,3.5989557,4f4.(5I).6s,4I,15/2,,*,17/2,,T7685,"L3260,L3475"
Nd,2,435.1295,435.1282+,680,7.2e+06,B+,0.1822698,3.0308408,4f4.(5I).6s,6I,11/2,4f4.(5I).6p,6K*,11/2,,T7685,"L3260,L3475"
Nd,2,435.8169,435.8161+,850,1.72e+07,B+,0.3205562,3.1646310,4f4.(5I).6s,6I,13/2,4f4.(5I).6p,6K*,13/2,,T7685,"L3260,L3475"
Nd,2,436.6315,436.6313+,240*,1.57e+06,B+,0.0636448,2.9024100,4f4.(5I).6s,6I,9/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,436.638,436.6388+,240*,,,1.4986162,4.3373321,4f4.(5F).6s,6F,9/2,,*,7/2,,,L3475
Nd,2,436.638,436.6385+,240*,,,0.3205562,3.1592742,4f4.(5I).6s,6I,13/2,,*,11/2,,,L3475
Nd,2,436.638,436.6382+,240*,,,1.1602330,3.9989529,4f4.(5I).5d,6I,11/2,,*,9/2,,,L3475
Nd,2,436.8632,436.8631+,340,6.8e+06,B+,0.0636448,2.9009035,4f4.(5I).6s,6I,9/2,,*,7/2,,T7685,"L3260,L3475"
Nd,2,437.4923,437.4920+,470D*,2.93e+06,B+,0.1822698,3.0154501,4f4.(5I).6s,6I,11/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,437.5039,437.50339+,470D*,3.84e+06,B+,0.0000000,2.8331065,4f4.(5I).6s,6I,7/2,,*,7/2,,T7685,"L3260,L3475"
Nd,2,438.2737,438.2733+,150,3.2e+06,B,0.3802292,3.2083589,4f4.(5I).6s,4I,11/2,4f4.(5I).6p,6I*,9/2,,T7685,"L3260,L3475"
Nd,2,438.5663,438.5661+,710,1.46e+07,B+,0.2045993,3.0308408,4f4.(5I).6s,4I,9/2,4f4.(5I).6p,6K*,11/2,,T7685,"L3260,L3475"
Nd,2,439.066,439.0608+,250*,,,2.0672288,4.8902858,4f3.5d2,6G*,5/2,4f3.5d.6p,,7/2,,,L3475
Nd,2,439.066,439.0658+,250*,,,1.3383214,4.1613467,4f3.(4I*).5d (5K*).6s,6L*,13/2,4f3.(4I*).5d (5L*).6p,6M,13/2,,,L3475
Nd,2,440.0828,440.0821+,540,8.6e+06,B+,0.0636448,2.8801504,4f4.(5I).6s,6I,9/2,4f4.(5I).6p,6K*,9/2,,T7685,"L3260,L3475"
Nd,2,441.1052,441.1050+,510,7.2e+06,B,0.1822698,2.9922446,4f4.(5I).6s,6I,11/2,,*,11/2,,T7685,"L3260,L3475"
Nd,2,444.6387,444.6384+,580,1.25e+07,B,0.2045993,2.9922446,4f4.(5I).6s,4I,9/2,,*,11/2,,T7685,"L3260,L3475"
