element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Nd,2,325.691,325.69034+,50,,,0.1822698,3.9879845,4f4.(5I).6s,6I,11/2,,*,9/2,,,L3475
Nd,2,325.924,325.92298+,220,5.2e+06,B,0.0636448,3.8666431,4f4.(5I).6s,6I,9/2,,*,7/2,,T7685,L3475
Nd,2,326.066,326.06570+,100,,,0.0000000,3.8013338,4f4.(5I).6s,6I,7/2,,*,5/2,,,L3475
Nd,2,326.512,,220,,,,,,,,,,,,,L3475
Nd,2,326.538,326.53662+,50,,,0.0636448,3.8594967,4f4.(5I).6s,6I,9/2,,*,7/2,,,L3475
Nd,2,326.725,326.72456+,170,,,0.4713792,4.2650477,4f4.(5I).6s,6I,15/2,,*,13/2,,,L3475
Nd,2,327.318,327.31732+,100,,,0.2045993,3.9913979,4f4.(5I).6s,4I,9/2,,*,7/2,,,L3475
Nd,2,327.522,327.52118+,320*,,,0.6305390,4.4149806,4f4.(5I).6s,6I,17/2,,*,15/2,,,L3475
Nd,2,327.522,327.52166+,320*,,,0.1822698,3.9667058,4f4.(5I).6s,6I,11/2,,*,9/2,,,L3475
Nd,2,328.149,328.14834+,50,,,1.5946128,5.3718218,4f3.5d.6s,6I*,7/2,4f3.5d.6p,,7/2,,,L3475
Nd,2,328.2777,328.27661+,50,,,0.0000000,3.7757331,4f4.(5I).6s,6I,7/2,,*,7/2,,,"L3260,L3475"
Nd,2,328.510,328.50846+,290,,,0.0000000,3.7730684,4f4.(5I).6s,6I,7/2,,*,5/2,,,L3475
Nd,2,328.662,328.66063+,100,,,0.3205562,4.0918778,4f4.(5I).6s,6I,13/2,,*,11/2,,,L3475
Nd,2,329.065,329.06481+,100,,,0.0636448,3.8303344,4f4.(5I).6s,6I,9/2,,*,7/2,,,L3475
Nd,2,329.384,329.38167+,70,,,1.5946128,5.3576790,4f3.5d.6s,6I*,7/2,4f3.6s.6p,6I,7/2,,,L3475
Nd,2,329.468,329.46569+,70,,,0.2045993,3.9667058,4f4.(5I).6s,4I,9/2,,*,9/2,,,L3475
Nd,2,330.016,330.01433+,300,,,0.0000000,3.7558523,4f4.(5I).6s,6I,7/2,,*,5/2,,,L3475
Nd,2,331.275,331.27475+,200,,,0.0636448,3.8052075,4f4.(5I).6s,6I,9/2,,*,11/2,,,L3475
Nd,2,332.590,332.58892+,200,,,0.0636448,3.7904238,4f4.(5I).6s,6I,9/2,,*,7/2,,,L3475
Nd,2,332.8270,332.82613+,410,1.85e+07,B+,0.0000000,3.7241229,4f4.(5I).6s,6I,7/2,,*,5/2,,T7685,"L3260,L3475"
Nd,2,333.157,333.15697+,250,,,0.4713792,4.1918041,4f4.(5I).6s,6I,15/2,,*,13/2,,,L3475
Nd,2,333.4471,333.44652+,290,7.0e+06,B+,0.1822698,3.8994641,4f4.(5I).6s,6I,11/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,333.9063,333.90520+,290,8.6e+06,B+,0.0636448,3.7757331,4f4.(5I).6s,6I,9/2,,*,7/2,,T7685,"L3260,L3475"
Nd,2,335.359,335.35949+,320,,,0.6305390,4.3265303,4f4.(5I).6s,6I,17/2,,*,15/2,,,L3475
Nd,2,335.593,335.59128+,200,,,0.3205562,4.0139947,4f4.(5I).6s,6I,13/2,,*,11/2,,,L3475
Nd,2,336.496,336.49430+,270,7.5e+06,B+,0.1822698,3.8657969,4f4.(5I).6s,6I,11/2,,*,9/2,,T7685,L3475
Nd,2,339.363,339.36388+,290,,,0.4713792,4.1237603,4f4.(5I).6s,6I,15/2,,*,13/2,,,L3475
Nd,1,348.488,,120w,,,,,,,,,,,,,L3475
Nd,2,352.753,352.75047+,200*,,,0.0000000,3.5137803,4f4.(5I).6s,6I,7/2,,*,9/2,,,L3475
Nd,2,352.753,352.75245+,200*,,,1.2511692,4.7649297,4f3.(4I*).5d (5K*).6s,6K*,9/2,4f3.5d.6p,,7/2,,,L3475
Nd,2,354.335,354.33442+,290,5.6e+06,B,0.0000000,3.4980734,4f4.(5I).6s,6I,7/2,4f4.(5I).6p,4H*,7/2,,T7685,L3475
Nd,2,355.577,355.57640+,200,4.24e+06,B+,0.3205562,3.8064116,4f4.(5I).6s,6I,13/2,,*,13/2,,T7685,L3475
