element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Br,35,,,0.3867086,0.0000003,,1.4449e+13,AA,(12683.9903),(15890.1304),2s,2S,1/2,4p,2P*,3/2,,T7771,
Br,35,,,0.3875679,0.0000005,,1.3444e+12,AA,(12682.4267),(15881.458),2p,2P*,1/2,4s,2S,1/2,,T7771,
Br,35,,,0.3877816,0.0000004,,1.5037e+13,AA,(12683.9903),(15881.2593),2s,2S,1/2,4p,2P*,1/2,,T7771,
Br,35,,,0.39490778,0.00000019,,3.0975e+13,AA,(12753.4140),(15892.98740),2p,2P*,3/2,4d,2D,5/2,,T7771,
Br,35,,,0.39526963,0.00000019,,5.0962e+12,AA,(12753.4140),(15890.11333),2p,2P*,3/2,4d,2D,3/2,,T7771,
Br,35,,,0.3963633,0.0000005,,3.0344e+12,AA,(12753.4140),(15881.458),2p,2P*,3/2,4s,2S,1/2,,T7771,
Br,35,,,0.5181800,0.0000003,,8.3171e+13,AA,(12682.4267),(15075.11276),2p,2P*,1/2,3d,2D,3/2,,T7771,
Br,35,,,0.5185103,0.0000011,,3.3045e+13,AA,(12683.9903),(15075.152),2s,2S,1/2,3p,2P*,3/2,,T7771,
Br,35,,,0.5226686,0.0000019,,3.2988e+12,AA,(12682.4267),(15054.564),2p,2P*,1/2,3s,2S,1/2,,T7771,
Br,35,,,0.5231171,0.0000014,,3.5199e+13,AA,(12683.9903),(15054.094),2s,2S,1/2,3p,2P*,1/2,,T7771,
Br,35,,,0.5324633,0.0000003,,9.6827e+13,AA,(12753.4140),(15081.91614),2p,2P*,3/2,3d,2D,5/2,,T7771,
Br,35,,,0.5340236,0.0000003,,1.6113e+13,AA,(12753.4140),(15075.11276),2p,2P*,3/2,3d,2D,3/2,,T7771,
Br,35,,,0.5387923,0.0000021,,7.5099e+12,AA,(12753.4140),(15054.564),2p,2P*,3/2,3s,2S,1/2,,T7771,
Br,35,,,0.875825,0.000004,,2.6182e+11,AA,(15054.094),(16469.7212),3p,2P*,1/2,6s,2S,1/2,,T7771,
Br,35,,,0.876153,0.000005,,1.4782e+12,AA,(15054.564),(16469.6622),3s,2S,1/2,6p,2P*,1/2,,T7771,
Br,35,,,0.889050,0.000003,,5.8287e+11,AA,(15075.152),(16469.7212),3p,2P*,3/2,6s,2S,1/2,,T7771,
Br,35,,,0.8890628,0.0000006,,1.4219e+11,AA,(15075.11276),(16469.6622),3d,2D,3/2,6p,2P*,1/2,,T7771,
Br,35,,,1.021867,0.000005,,4.3259e+12,AA,(15054.094),(16267.40454),3p,2P*,1/2,5d,2D,3/2,,T7771,
Br,35,,,1.022256,0.000007,,2.4093e+12,AA,(15054.564),(16267.4131),3s,2S,1/2,5p,2P*,3/2,,T7771,
Br,35,,,1.025607,0.000006,,4.6781e+11,AA,(15054.094),(16262.9805),3p,2P*,1/2,5s,2S,1/2,,T7771,
Br,35,,,1.026093,0.000007,,2.5426e+12,AA,(15054.564),(16262.8777),3s,2S,1/2,5p,2P*,1/2,,T7771,
Br,35,,,1.03860155,0.00000011,,6.4528e+12,AA,(15075.11276),(16268.87372),3d,2D,3/2,5f,2F*,5/2,,T7771,
Br,35,,,1.038633,0.000004,,5.1119e+12,AA,(15075.152),(16268.87632),3p,2P*,3/2,5d,2D,5/2,,T7771,
Br,35,,,1.0398739,0.0000010,,2.2800e+10,AA,(15075.11276),(16267.4131),3d,2D,3/2,5p,2P*,3/2,,T7771,
Br,35,,,1.039915,0.000004,,8.5310e+11,AA,(15075.152),(16267.40454),3p,2P*,3/2,5d,2D,3/2,,T7771,
Br,35,,,1.043789,0.000005,,1.0441e+12,AA,(15075.152),(16262.9805),3p,2P*,3/2,5s,2S,1/2,,T7771,
Br,35,,,1.0438445,0.0000011,,2.7173e+11,AA,(15075.11276),(16262.8777),3d,2D,3/2,5p,2P*,1/2,,T7771,
Br,35,,,1.04391184,0.00000011,,6.8243e+12,AA,(15081.91614),(16269.60454),3d,2D,5/2,5f,2F*,7/2,,T7771,
Br,35,,,1.04455459,0.00000011,,4.5067e+11,AA,(15081.91614),(16268.87372),3d,2D,5/2,5f,2F*,5/2,,T7771,
Br,35,,,1.0458416,0.0000010,,2.1632e+11,AA,(15081.91614),(16267.4131),3d,2D,5/2,5p,2P*,3/2,,T7771,
Br,35,,,1.483031,0.000011,,8.8015e+12,AA,(15054.094),(15890.11333),3p,2P*,1/2,4d,2D,3/2,,T7771,
Br,35,,,1.483835,0.000016,,4.4319e+12,AA,(15054.564),(15890.1304),3s,2S,1/2,4p,2P*,3/2,,T7771,
Br,35,,,1.498545,0.000013,,9.5126e+11,AA,(15054.094),(15881.458),3p,2P*,1/2,4s,2S,1/2,,T7771,
Br,35,,,1.499757,0.000016,,4.7794e+12,AA,(15054.564),(15881.2593),3s,2S,1/2,4p,2P*,1/2,,T7771,
Br,35,,,1.51594086,0.00000025,,1.9483e+13,AA,(15075.11276),(15892.98238),3d,2D,3/2,4f,2F*,5/2,,T7771,
Br,35,,,1.516004,0.000009,,1.0555e+13,AA,(15075.152),(15892.98740),3p,2P*,3/2,4d,2D,5/2,,T7771,
Br,35,,,1.521246,0.000003,,5.2907e+10,AA,(15075.11276),(15890.1304),3d,2D,3/2,4p,2P*,3/2,,T7771,
Br,35,,,1.521351,0.000009,,1.7780e+12,AA,(15075.152),(15890.11333),3p,2P*,3/2,4d,2D,3/2,,T7771,
Br,35,,,1.5259734,0.0000003,,2.0692e+13,AA,(15081.91614),(15894.40868),3d,2D,5/2,4f,2F*,7/2,,T7771,
Br,35,,,1.5286569,0.0000003,,1.3757e+12,AA,(15081.91614),(15892.98238),3d,2D,5/2,4f,2F*,5/2,,T7771,
Br,35,,,1.534051,0.000003,,5.0259e+11,AA,(15081.91614),(15890.1304),3d,2D,5/2,4p,2P*,3/2,,T7771,
Br,35,,,1.537681,0.000012,,2.1433e+12,AA,(15075.152),(15881.458),3p,2P*,3/2,4s,2S,1/2,,T7771,
Br,35,,,1.537986,0.000005,,6.3380e+11,AA,(15075.11276),(15881.2593),3d,2D,3/2,4p,2P*,1/2,,T7771,
